epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,3239.46,0.64109,0.45454,1.00418,0.97605,0.97658,0.98951,0.86365,0.55925,0.38643,0.92754,0.000625063,0.000625063,0.000625063
102,3271.05,0.61561,0.4607,0.99557,0.99312,0.96979,0.98911,0.85515,0.60066,0.4142,0.95746,0.000615246,0.000615246,0.000615246
103,3299.93,0.63004,0.47755,1.01432,0.97735,0.96468,0.98834,0.84492,0.63575,0.43077,0.97287,0.000605433,0.000605433,0.000605433
104,3327.18,0.62194,0.43903,0.9865,0.9874,0.96426,0.99002,0.85965,0.55961,0.3732,0.92375,0.000595624,0.000595624,0.000595624
105,3355.99,0.61973,0.45447,0.99101,0.975,0.94349,0.98669,0.85971,0.58137,0.40608,0.92449,0.000585822,0.000585822,0.000585822
106,3382.69,0.58757,0.43259,0.97735,0.97117,0.97077,0.9873,0.86199,0.56128,0.38418,0.9278,0.00057603,0.00057603,0.00057603
107,3410.71,0.63947,0.46592,1.01155,0.97603,0.96107,0.97891,0.84601,0.61226,0.4124,0.97784,0.000566251,0.000566251,0.000566251
108,3442.39,0.61163,0.43076,1.00888,0.98277,0.9771,0.99006,0.87048,0.53377,0.3664,0.90468,0.000556485,0.000556485,0.000556485
109,3476.13,0.59171,0.43243,0.99189,0.97109,0.97992,0.99315,0.87036,0.56132,0.35849,0.92836,0.000546737,0.000546737,0.000546737
110,3507.22,0.56792,0.42116,0.97758,0.98467,0.97175,0.98963,0.86922,0.55336,0.37326,0.92784,0.000537008,0.000537008,0.000537008
111,3581.93,0.57032,0.4153,0.97832,0.97688,0.96651,0.98782,0.86633,0.58014,0.39648,0.96299,0.000527301,0.000527301,0.000527301
112,3649.91,0.57988,0.41181,0.96727,0.9742,0.97682,0.98851,0.87028,0.53638,0.38021,0.91339,0.000517618,0.000517618,0.000517618
113,3681.56,0.60082,0.43204,0.96907,0.98718,0.96578,0.98901,0.8594,0.57874,0.38922,0.9335,0.000507961,0.000507961,0.000507961
114,3721.26,0.57849,0.40571,0.9656,0.96374,0.97644,0.98714,0.85733,0.55198,0.38249,0.91684,0.000498333,0.000498333,0.000498333
115,3751.32,0.57381,0.41752,0.95869,0.95565,0.96106,0.98417,0.85044,0.58266,0.40109,0.94805,0.000488737,0.000488737,0.000488737
116,3780.48,0.57504,0.4052,0.95902,0.95609,0.94977,0.9827,0.8584,0.55309,0.39389,0.92598,0.000479174,0.000479174,0.000479174
117,3808.25,0.56593,0.40398,0.96516,0.97823,0.95819,0.98916,0.85911,0.56641,0.38948,0.92707,0.000469647,0.000469647,0.000469647
118,3851.87,0.61504,0.42632,0.9652,0.98358,0.97456,0.98882,0.86684,0.53512,0.36546,0.91608,0.000460158,0.000460158,0.000460158
119,3889.5,0.54978,0.41704,0.97244,0.98032,0.9667,0.98725,0.87287,0.52858,0.3726,0.91533,0.00045071,0.00045071,0.00045071
120,3917.47,0.52735,0.39277,0.9382,0.98975,0.96638,0.98498,0.87221,0.53737,0.39252,0.9171,0.000441306,0.000441306,0.000441306
121,3948.13,0.54086,0.39609,0.97694,0.98135,0.9685,0.98326,0.86568,0.55735,0.40939,0.93307,0.000431946,0.000431946,0.000431946
122,3976.39,0.55357,0.38961,0.93204,0.98523,0.97102,0.9901,0.86962,0.52448,0.35957,0.89599,0.000422634,0.000422634,0.000422634
123,4006.15,0.56089,0.39536,0.9451,0.97977,0.96969,0.9879,0.8717,0.54343,0.36893,0.91362,0.000413372,0.000413372,0.000413372
124,4047.04,0.53561,0.3845,0.9473,0.98894,0.96514,0.98319,0.86919,0.53217,0.3751,0.9126,0.000404163,0.000404163,0.000404163
125,4074.19,0.51268,0.3815,0.93777,0.98668,0.96413,0.98583,0.87107,0.53207,0.37964,0.91642,0.000395008,0.000395008,0.000395008
126,4102.01,0.51955,0.37479,0.9573,0.98372,0.97508,0.98879,0.86993,0.53483,0.34915,0.91317,0.000385909,0.000385909,0.000385909
127,4134.49,0.53538,0.38848,0.94841,0.96368,0.97603,0.99001,0.87462,0.532,0.35235,0.91936,0.00037687,0.00037687,0.00037687
128,4160.74,0.51128,0.37348,0.92514,0.98313,0.95509,0.9914,0.86269,0.52823,0.35511,0.90899,0.000367892,0.000367892,0.000367892
129,4191.74,0.5201,0.37719,0.93634,0.9801,0.95914,0.9914,0.87421,0.53659,0.34667,0.91031,0.000358977,0.000358977,0.000358977
130,4218.66,0.53268,0.37868,0.94284,0.9779,0.96397,0.98456,0.85678,0.53612,0.36814,0.90917,0.000350128,0.000350128,0.000350128
131,4249.34,0.53796,0.38172,0.93305,0.98368,0.95587,0.98545,0.86003,0.53549,0.37851,0.91016,0.000341347,0.000341347,0.000341347
132,4281.19,0.52512,0.37996,0.95394,0.97852,0.96445,0.98867,0.868,0.52789,0.36041,0.90396,0.000332636,0.000332636,0.000332636
133,4332.22,0.50089,0.36321,0.93104,0.9615,0.96686,0.98866,0.86841,0.51747,0.3635,0.90066,0.000323997,0.000323997,0.000323997
134,4361.54,0.47951,0.34178,0.91278,0.9859,0.9505,0.98594,0.87513,0.5168,0.37422,0.90308,0.000315432,0.000315432,0.000315432
135,4388.56,0.49613,0.36916,0.92645,0.98357,0.95571,0.98511,0.87505,0.50083,0.37231,0.89159,0.000306943,0.000306943,0.000306943
136,4416.56,0.48369,0.34681,0.92842,0.95944,0.97475,0.98877,0.8749,0.50773,0.34728,0.89777,0.000298534,0.000298534,0.000298534
137,4443.98,0.48648,0.3617,0.92562,0.97794,0.97684,0.99042,0.88025,0.4879,0.32928,0.88329,0.000290204,0.000290204,0.000290204
138,4471.19,0.47634,0.35083,0.92275,0.98114,0.97682,0.98783,0.88168,0.48596,0.33996,0.88084,0.000281958,0.000281958,0.000281958
139,4510.4,0.46788,0.34284,0.92658,0.97066,0.97841,0.98862,0.88529,0.4956,0.35374,0.89234,0.000273796,0.000273796,0.000273796
140,4540.69,0.45759,0.33392,0.91653,0.97312,0.96505,0.98889,0.88493,0.48367,0.33768,0.87531,0.00026572,0.00026572,0.00026572
141,4569,0.48384,0.34324,0.91577,0.99344,0.94638,0.98847,0.87596,0.4964,0.35322,0.88554,0.000257733,0.000257733,0.000257733
142,4597.66,0.45499,0.32022,0.90057,0.98552,0.95727,0.98884,0.88161,0.48382,0.33604,0.87382,0.000249837,0.000249837,0.000249837
143,4624.41,0.474,0.34287,0.91682,0.96442,0.97757,0.98989,0.88361,0.4977,0.33543,0.89062,0.000242034,0.000242034,0.000242034
144,4775.27,0.45267,0.33963,0.92266,0.96526,0.96725,0.98837,0.8826,0.48694,0.35462,0.87842,0.000234325,0.000234325,0.000234325
145,4821.5,0.4621,0.33469,0.91854,0.97941,0.95816,0.98353,0.87264,0.49648,0.36835,0.88689,0.000226712,0.000226712,0.000226712
146,4850.83,0.44747,0.32586,0.88793,0.98898,0.95692,0.98302,0.8698,0.50585,0.37176,0.89364,0.000219198,0.000219198,0.000219198
147,4902.18,0.4605,0.3257,0.90028,0.98289,0.95536,0.98245,0.87625,0.49515,0.35546,0.88428,0.000211784,0.000211784,0.000211784
148,4929.42,0.43014,0.31497,0.88953,0.98305,0.95538,0.98315,0.87348,0.49965,0.36986,0.88213,0.000204472,0.000204472,0.000204472
149,4959.71,0.44005,0.31694,0.9064,0.99231,0.94941,0.9842,0.8792,0.49882,0.35564,0.87688,0.000197263,0.000197263,0.000197263
150,5007.77,0.44052,0.31226,0.895,0.98029,0.95819,0.98668,0.88284,0.48421,0.33638,0.87312,0.00019016,0.00019016,0.00019016
151,5050.61,0.43901,0.31824,0.91315,0.99196,0.95365,0.98716,0.88535,0.4805,0.33956,0.87102,0.000183165,0.000183165,0.000183165
152,5093.06,0.46491,0.32043,0.9079,0.98457,0.96168,0.98543,0.88619,0.48377,0.34638,0.87036,0.000176278,0.000176278,0.000176278
153,5126.96,0.418,0.30243,0.89792,0.98326,0.96133,0.98453,0.88779,0.48896,0.34582,0.87862,0.000169503,0.000169503,0.000169503
154,5154.69,0.42014,0.30897,0.89201,0.98217,0.96172,0.98657,0.88837,0.48019,0.33907,0.87521,0.000162839,0.000162839,0.000162839
155,5217.2,0.43856,0.31525,0.87403,0.98249,0.9651,0.98833,0.88936,0.48093,0.33478,0.87893,0.00015629,0.00015629,0.00015629
156,5269.46,0.43381,0.31556,0.90029,0.98824,0.96465,0.98761,0.88141,0.48027,0.34116,0.87501,0.000149856,0.000149856,0.000149856
157,5298.09,0.44363,0.32271,0.89366,0.98159,0.96172,0.98494,0.88858,0.47888,0.34681,0.87278,0.00014354,0.00014354,0.00014354
158,5326.81,0.43362,0.30497,0.89147,0.98232,0.95334,0.98616,0.88238,0.48327,0.35401,0.87572,0.000137342,0.000137342,0.000137342
159,5363.8,0.41201,0.30609,0.8927,0.98097,0.96524,0.98342,0.87815,0.48595,0.35559,0.87706,0.000131265,0.000131265,0.000131265
160,5393.93,0.42049,0.30935,0.89992,0.97224,0.97228,0.9848,0.88158,0.4791,0.3437,0.87107,0.00012531,0.00012531,0.00012531
161,5430.46,0.4421,0.3067,0.90253,0.98679,0.95731,0.98632,0.882,0.47854,0.33974,0.87165,0.000119477,0.000119477,0.000119477
162,5485.45,0.41766,0.30191,0.87427,0.98252,0.95964,0.98824,0.8874,0.47667,0.33139,0.86844,0.00011377,0.00011377,0.00011377
163,5514.75,0.4491,0.30519,0.87605,0.98639,0.95819,0.988,0.88367,0.48228,0.33676,0.87005,0.000108189,0.000108189,0.000108189
164,5577.19,0.42962,0.30906,0.89321,0.98668,0.95743,0.98828,0.8821,0.48495,0.33833,0.87188,0.000102735,0.000102735,0.000102735
165,5614.8,0.39893,0.28844,0.88594,0.98658,0.95708,0.98777,0.88583,0.47241,0.33784,0.86695,9.74103e-05,9.74103e-05,9.74103e-05
166,5644.05,0.44843,0.30516,0.87177,0.98791,0.95877,0.98546,0.88578,0.46879,0.33521,0.86853,9.22157e-05,9.22157e-05,9.22157e-05
167,5672.82,0.40525,0.29507,0.87603,0.98614,0.95763,0.98563,0.88729,0.47092,0.34337,0.87011,8.71525e-05,8.71525e-05,8.71525e-05
168,5702.34,0.42537,0.30151,0.88656,0.98748,0.95655,0.98367,0.8814,0.47609,0.34654,0.87222,8.22221e-05,8.22221e-05,8.22221e-05
169,5730.88,0.44748,0.30859,0.88764,0.98425,0.95602,0.98432,0.88303,0.47063,0.35553,0.87049,7.74256e-05,7.74256e-05,7.74256e-05
170,5927.96,0.43324,0.31061,0.88785,0.98823,0.9575,0.98462,0.87999,0.48049,0.35085,0.87466,7.27642e-05,7.27642e-05,7.27642e-05
171,5965.63,0.40315,0.29204,0.88112,0.98735,0.95695,0.98659,0.88252,0.4795,0.34273,0.87579,6.82391e-05,6.82391e-05,6.82391e-05
172,6001.33,0.42622,0.30093,0.88251,0.98799,0.95659,0.9848,0.88153,0.47807,0.34297,0.87512,6.38514e-05,6.38514e-05,6.38514e-05
173,6028.5,0.40581,0.29595,0.87962,0.98798,0.95524,0.98433,0.88708,0.48178,0.33963,0.87632,5.96021e-05,5.96021e-05,5.96021e-05
174,6054.74,0.39914,0.29979,0.87066,0.99087,0.95808,0.98394,0.87854,0.47998,0.3455,0.87804,5.54924e-05,5.54924e-05,5.54924e-05
175,6083.31,0.39458,0.28916,0.87589,0.98599,0.95819,0.98441,0.88456,0.47552,0.33806,0.87481,5.15232e-05,5.15232e-05,5.15232e-05
176,6113.76,0.41409,0.29286,0.87296,0.98607,0.95819,0.98377,0.88665,0.47241,0.32991,0.87527,4.76955e-05,4.76955e-05,4.76955e-05
177,6143.64,0.40773,0.31118,0.88967,0.98558,0.95819,0.98428,0.88626,0.471,0.33153,0.87558,4.40103e-05,4.40103e-05,4.40103e-05
178,6177.15,0.39863,0.28491,0.88448,0.98385,0.9583,0.98423,0.88497,0.46977,0.32756,0.87606,4.04684e-05,4.04684e-05,4.04684e-05
179,6203.5,0.41355,0.28383,0.86798,0.98623,0.95819,0.98441,0.88625,0.47254,0.3336,0.87872,3.70708e-05,3.70708e-05,3.70708e-05
180,6232.52,0.40368,0.29206,0.87263,0.98241,0.95819,0.98562,0.8869,0.47022,0.32613,0.87606,3.38183e-05,3.38183e-05,3.38183e-05
181,6259.1,0.38598,0.29311,0.87868,0.98566,0.95819,0.98569,0.88911,0.47331,0.32764,0.87959,3.07116e-05,3.07116e-05,3.07116e-05
182,6315.28,0.42832,0.29613,0.88863,0.98585,0.95819,0.98576,0.88634,0.47241,0.32533,0.87778,2.77516e-05,2.77516e-05,2.77516e-05
183,6348.65,0.37607,0.26935,0.87181,0.98641,0.95819,0.98656,0.88871,0.46732,0.32451,0.8766,2.4939e-05,2.4939e-05,2.4939e-05
184,6375.8,0.39698,0.29293,0.87207,0.97297,0.97078,0.98652,0.88694,0.46643,0.32428,0.87686,2.22744e-05,2.22744e-05,2.22744e-05
185,6402.12,0.39695,0.28601,0.87781,0.98633,0.95819,0.98594,0.8856,0.46711,0.32852,0.87792,1.97586e-05,1.97586e-05,1.97586e-05
186,6430.18,0.40168,0.28654,0.87036,0.99181,0.95755,0.98444,0.8845,0.46999,0.32802,0.87782,1.73921e-05,1.73921e-05,1.73921e-05
187,6458.42,0.38765,0.2871,0.89012,0.98586,0.95843,0.98651,0.88766,0.46957,0.32904,0.8784,1.51755e-05,1.51755e-05,1.51755e-05
188,6488.67,0.39562,0.28886,0.87648,0.98925,0.95692,0.98699,0.89074,0.47197,0.32303,0.87798,1.31094e-05,1.31094e-05,1.31094e-05
189,6517.6,0.39283,0.28825,0.87287,0.98612,0.95764,0.98707,0.8915,0.46859,0.32635,0.87738,1.11944e-05,1.11944e-05,1.11944e-05
190,6554.07,0.37388,0.27665,0.87429,0.99259,0.95629,0.98718,0.89024,0.46773,0.32301,0.87543,9.43074e-06,9.43074e-06,9.43074e-06
191,6610.98,0.41553,0.2933,0.86445,0.98628,0.95885,0.98637,0.89019,0.46905,0.32534,0.87687,7.81902e-06,7.81902e-06,7.81902e-06
192,6649.77,0.39443,0.27986,0.8715,0.98616,0.95837,0.98769,0.89006,0.46778,0.32352,0.87827,6.35959e-06,6.35959e-06,6.35959e-06
193,6690.28,0.40507,0.28791,0.87109,0.9889,0.95656,0.98688,0.89086,0.46934,0.32579,0.87708,5.05282e-06,5.05282e-06,5.05282e-06
194,6716.89,0.40167,0.28847,0.89015,0.9863,0.95834,0.98664,0.88819,0.46854,0.32607,0.87702,3.89903e-06,3.89903e-06,3.89903e-06
195,6746.5,0.40598,0.28589,0.87319,0.98905,0.95712,0.9845,0.8893,0.47035,0.32806,0.87672,2.89849e-06,2.89849e-06,2.89849e-06
196,6776.43,0.40479,0.29995,0.89083,0.9877,0.95725,0.98649,0.89052,0.46887,0.32655,0.87728,2.05147e-06,2.05147e-06,2.05147e-06
197,6821.43,0.39574,0.28013,0.87806,0.98989,0.95708,0.9861,0.89125,0.4698,0.32465,0.87758,1.35817e-06,1.35817e-06,1.35817e-06
198,6849.23,0.40453,0.28564,0.87487,0.98722,0.9565,0.98666,0.88937,0.46948,0.32487,0.87618,8.18759e-07,8.18759e-07,8.18759e-07
199,6876.42,0.39105,0.28552,0.88165,0.98752,0.95611,0.98695,0.88944,0.46727,0.32514,0.87661,4.33369e-07,4.33369e-07,4.33369e-07
200,6925.21,0.41377,0.29328,0.87924,0.98727,0.95628,0.98628,0.88823,0.4693,0.32676,0.87701,2.02097e-07,2.02097e-07,2.02097e-07
